|Hastings Highlands| 85           
|North Bay| 86   84.47 31.36 93.54 67.63 116.14 115.37 103.19 119.53 117.29
Ottawa 87  177.27  178.17 83.73 101.18 97.35 112.97 96.18 88.5 134.58
|Greater Sudbury / Grand Sudbury| 88  27.75 107.51  75.71 77.97 100.1 116.2 90.4 101.09 108.48
Toronto 89  79.9 51.0 91.2  14.45 19.65 14.0 12.45 17.7 34.0
Barrie 90  59.85 95.45 73.1 23.9  27.45 48.9 23.9 41.4 102.45
Peterborough 91  109.69 97.35 110.59 19.65 46.41  42.65 26.8 31.6 96.35
|Port Colborne| 92  114.98 82.78 115.88 27.9 51.7 44.56  25.2 33.95 76.7
Hamilton 93  95.4 63.45 96.2 16.85 22.3 26.8 21.4  17.1 47.85
Kitchener 94  97.4 94.49 101.09 25.51 40.85 31.6 66.15 17.1  24.0
London 95  121.9 108.0 103.7 41.0 56.45 71.75 51.4 38.3 60.35 
