|Hastings Highlands| 85           
|North Bay| 86   84.47  93.54 67.63 109.69 109.5 103.19 107.79 123.29
Ottawa 87  84.47  213.2 118.76 133.21 121.08 142.38 131.21 88.5 147.13
|Greater Sudbury / Grand Sudbury| 88   107.51  75.71 77.97 100.1 100.7 90.4 128.04 111.87
Toronto 89  79.9 49.0 107.65  23.9 34.75 15.0 12.45 23.0 31.0
Barrie 90  59.85 95.45 73.1 14.45  27.45 19.3 23.9 25.55 102.45
Peterborough 91  109.69 121.08 110.59 19.65 46.41  42.11 26.8 31.6 55.9
|Port Colborne| 92  108.37 140.09 122.66 24.91 45.09 41.65  23.25 33.95 51.08
Hamilton 93  93.0 62.5 121.15 13.5 37.4 26.8 15.2  42.0 49.4
Kitchener 94  97.4 96.72 128.04 16.05 35.39 31.6 66.15 17.1  
London 95  190.05 80.0 141.65 34.0 57.9 34.75 57.3 45.0 21.0 
