|Hastings Highlands| 85           
|North Bay| 86   806645.0 121650.0 532692.0 436404.0 489907.0 515354.0 424906.0 459427.0 547069.0
Ottawa 87  794974.0  839130.0 445506.0 553536.0 480349.0 602435.0 516070.0 554867.0 631315.0
|Greater Sudbury / Grand Sudbury| 88  125430.0 861580.0  411042.0 314754.0 540815.0 566189.0 481825.0 510262.0 598319.0
Toronto 89  349696.0 447981.0 474518.0  112506.0 136597.0 174418.0 70602.0 119465.0 185809.0
Barrie 90  257228.0 552736.0 334887.0 96575.0  226275.0 279350.0 167358.0 195795.0 288875.0
Peterborough 91  483442.0 481874.0 566397.0 135725.0 248193.0  310536.0 206132.0 255152.0 329361.0
|Port Colborne| 92  501596.0 602463.0 583168.0 153145.0 244656.0 289712.0  100857.0 262817.0 379151.0
Hamilton 93  412313.0 516231.0 537135.0 68288.0 180326.0 204847.0 128797.0  145476.0 140695.0
Kitchener 94  429472.0 550664.0 530495.0 101657.0 214125.0 238283.0 276468.0 141966.0  295293.0
London 95  535443.0 634648.0 616313.0 185915.0 278502.0 322541.0 360726.0 143364.0 95927.0 
