|Hastings Highlands| 85           
|North Bay| 86   806645.0 124990.0 361491.0 261568.0 489907.0 515088.0 424906.0 469351.0 553714.0
Ottawa 87  794974.0  839130.0 449283.0 559682.0 484077.0 603691.0 519847.0 577619.0 635224.0
|Greater Sudbury / Grand Sudbury| 88  125430.0 864549.0  411042.0 314754.0 540815.0 563520.0 481825.0 525025.0 615253.0
Toronto 89  349696.0 449007.0 474518.0  110437.0 136626.0 174979.0 91001.0 135446.0 185811.0
Barrie 90  257228.0 548383.0 334887.0 96575.0  226393.0 283376.0 166938.0 211803.0 288875.0
Peterborough 91  485224.0 485869.0 559155.0 135725.0 228283.0  310536.0 206289.0 261560.0 331867.0
|Port Colborne| 92  501596.0 605432.0 583168.0 153145.0 244656.0 290126.0  223442.0 284903.0 379151.0
Hamilton 93  412313.0 520226.0 537135.0 73894.0 183863.0 210482.0 123861.0  144787.0 140697.0
Kitchener 94  455955.0 573164.0 526310.0 121226.0 231195.0 257814.0 251372.0 143566.0  96279.0
London 95  556265.0 633622.0 620271.0 185641.0 285671.0 322238.0 261931.0 143364.0 95927.0 
