|Hastings Highlands| 85           
|North Bay| 86   365043.0  349503.0 253215.0 479321.0 543887.0 419866.0 463486.0 552516.0
Ottawa 87  363360.0  850447.0 445506.0 541578.0 480300.0 630968.0 516070.0 572201.0 639152.0
|Greater Sudbury / Grand Sudbury| 88   489359.0  425516.0 329228.0 555289.0 560266.0 495055.0 524736.0 617825.0
Toronto 89  349636.0 448631.0 405109.0  110437.0 136626.0 191786.0 70602.0 125873.0 185811.0
Barrie 90  253684.0 544388.0 309156.0 111375.0  226393.0 282606.0 179440.0 210558.0 305264.0
Peterborough 91  483459.0 482524.0 538932.0 135725.0 248193.0  300184.0 206289.0 262420.0 329685.0
|Port Colborne| 92  526103.0 607097.0 564174.0 153145.0 281287.0 314220.0  223442.0 297290.0 368153.0
Hamilton 93  413855.0 516881.0 475181.0 68288.0 183863.0 210482.0 138745.0  144787.0 140697.0
Kitchener 94  449291.0 568099.0 505895.0 121226.0 234469.0 275384.0 282831.0 143566.0  
London 95  534505.0 634272.0 592823.0 204957.0 315089.0 341287.0 275899.0 143364.0 95927.0 
