|Hastings Highlands| 85           
|North Bay| 86   39020.0 6060.0 21319.0 15462.0 28026.0 31247.0 24439.0 27565.0 28908.0
Ottawa 87  35757.0  35988.0 17088.0 25153.0 19284.0 26302.0 21142.0 25055.0 25394.0
|Greater Sudbury / Grand Sudbury| 88  6069.0 38551.0  19270.0 13902.0 25245.0 29087.0 22509.0 25635.0 29448.0
Toronto 89  20813.0 18582.0 26744.0  7788.0 7536.0 10203.0 5657.0 8783.0 8704.0
Barrie 90  14878.0 23511.0 17209.0 5560.0  11935.0 17604.0 8839.0 11644.0 14557.0
Peterborough 91  26935.0 20479.0 30525.0 7896.0 12268.0  17945.0 11350.0 15976.0 20967.0
|Port Colborne| 92  30856.0 28397.0 32287.0 10329.0 16189.0 17875.0  13594.0 17722.0 20128.0
Hamilton 93  23140.0 21572.0 29071.0 4388.0 11811.0 11905.0 9149.0  7927.0 7204.0
Kitchener 94  25632.0 26095.0 28131.0 7891.0 15314.0 15528.0 15231.0 7704.0  7713.0
London 95  28612.0 26684.0 34130.0 9641.0 17132.0 15977.0 17056.0 7781.0 7379.0 
