|Hastings Highlands| 85           
|North Bay| 86   84.47 31.36 93.54 67.63 119.69 108.37 103.19 107.79 119.29
Ottawa 87  84.47  115.83 83.73 134.61 123.34 125.13 96.18 109.49 136.05
|Greater Sudbury / Grand Sudbury| 88   107.51  75.71 77.97 100.1 116.2 90.4 128.04 109.61
Toronto 89  79.9 49.0 80.7  23.9 34.75 14.0 12.45 17.7 31.0
Barrie 90  59.85 95.45 73.1 14.45  27.45 19.3 23.9 25.55 102.45
Peterborough 91  109.69 97.35 141.04 19.65 46.41  40.98 26.8 31.6 51.9
|Port Colborne| 92  108.37  139.72 27.9 45.09 43.65  25.2 47.55 47.08
Hamilton 93  92.35 61.45 93.15 12.45 36.35 26.8 15.2  33.0 39.3
Kitchener 94  97.4 96.72 128.04 17.7 35.39 31.6 66.15 17.1  
London 95  125.75 78.0 114.7 34.0 57.9 64.65 57.3 39.3 21.0 
