|Hastings Highlands| 85           
|North Bay| 86 318000.0  359000.0 127000.0 357000.0 249000.0 321000.0 623000.0 392000.0 402000.0 496000.0
Ottawa 87 289000.0 358000.0  484000.0 450000.0 412000.0 268000.0 594000.0 476000.0 502000.0 580000.0
|Greater Sudbury / Grand Sudbury| 88 384000.0 127000.0 484000.0  400000.0 292000.0 398000.0 515000.0 436000.0 461000.0 531000.0
Toronto 89 264000.0 357000.0 449000.0 400000.0  110000.0 145000.0 147000.0 68000.0 107000.0 194000.0
Barrie 90 272000.0 249000.0 412000.0 292000.0 109000.0  217000.0 224000.0 144000.0 154000.0 253000.0
Peterborough 91 128000.0 320000.0 268000.0 398000.0 146000.0 217000.0  283000.0 204000.0 230000.0 338000.0
|Port Colborne| 92       283000.0    
Hamilton 93 331000.0 393000.0 516000.0 436000.0 69000.0 146000.0 205000.0 92000.0  66000.0 138000.0
Kitchener 94 358000.0 420000.0 543000.0 463000.0 109000.0 155000.0 232000.0 159000.0 66000.0  110000.0
London 95 436000.0 496000.0 628000.0 545000.0 195000.0 255000.0 339000.0 198000.0 138000.0 110000.0 
