|Hastings Highlands| 85           
|North Bay| 86   17792.0  21411.0 15462.0 27525.0 31247.0 24439.0 23065.0 29208.0
Ottawa 87  37489.0  37224.0 17429.0 22963.0 19325.0 25845.0 20883.0 22989.0 25425.0
|Greater Sudbury / Grand Sudbury| 88   23432.0  23521.0 18102.0 29265.0 29087.0 26109.0 26175.0 30948.0
Toronto 89  20454.0 18197.0 20069.0  5688.0 7536.0 9332.0 5577.0 5823.0 8293.0
Barrie 90  14278.0 23367.0 14509.0 7688.0  11374.0 17927.0 10800.0 8284.0 15783.0
Peterborough 91  27364.0 20439.0 28051.0 8016.0 11847.0  15892.0 12996.0 12702.0 16155.0
|Port Colborne| 92  30224.0 27519.0 29555.0 11380.0 18128.0 18764.0  11141.0 17059.0 18226.0
Hamilton 93  22840.0 24066.0 24594.0 6734.0 7971.0 11005.0 9034.0  8366.0 10942.0
Kitchener 94  23052.0 26729.0 23972.0 7891.0 8594.0 13788.0 15611.0 7843.0  14025.0
London 95  28448.0 26345.0 28734.0 12770.0 16721.0 15678.0 19523.0 15856.0 7688.0 
