|Hastings Highlands| 85  0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
|North Bay| 86 0.0  0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
Ottawa 87 0.0 0.0  0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
|Greater Sudbury / Grand Sudbury| 88 0.0 0.0 0.0  0.0 0.0 0.0 0.0 0.0 0.0 0.0
Toronto 89 0.0 0.0 0.0 0.0  0.0 0.0 0.0 0.0 0.0 0.0
Barrie 90 0.0 0.0 0.0 0.0 0.0  0.0 0.0 0.0 0.0 0.0
Peterborough 91 0.0 0.0 0.0 0.0 0.0 0.0  0.0 0.0 0.0 0.0
|Port Colborne| 92 0.0 0.0 0.0 0.0 0.0 0.0 0.0  0.0 0.0 0.0
Hamilton 93 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0  0.0 0.0
Kitchener 94 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0  0.0
London 95 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
