|Hastings Highlands| 85           
|North Bay| 86   84.47 31.36 93.54 67.63 109.69 108.37 103.19 119.53 121.29
Ottawa 87  177.27  178.17 83.73 76.32 97.35 85.85 96.18 88.5 134.58
|Greater Sudbury / Grand Sudbury| 88  27.75 107.51  75.71 77.97 100.1 100.7 90.4 101.09 110.74
Toronto 89  79.9 92.0 111.5  23.9 19.65 14.0 20.5 23.0 34.0
Barrie 90  59.85 95.45 73.1 14.45  27.45 30.3 22.3 25.55 102.45
Peterborough 91  109.69 110.91 110.59 19.65 27.45  68.68 26.8 31.6 96.35
|Port Colborne| 92  118.37 111.63 119.27 24.91 55.09 47.55  23.25 33.95 59.08
Hamilton 93  99.9 161.0 127.65 11.0 43.9 26.8 20.2  37.35 45.0
Kitchener 94  97.4 94.49 101.09 25.51 52.07 31.6 66.15 17.1  24.0
London 95  113.9 145.0 138.65 45.0 57.9 71.8 47.0 58.5 64.0 
