city_from,city_to,transitmode,persona,total distance,total time,total Cost,start time,transfertime,eagres time,stop1 lat,stop 1 long,stop 2 lat,stop 2 long,stp3 lat,stop 3 lon,
64,72,3,4,N/A,,,,,,,,,,,,
64,71,3,4,N/A,,,,,,,,,,,,
64,70,3,4,N/A,,,,,,,,,,,,
64,69,3,4,N/A,,,,,,,,,,,,
64,68,3,4,N/A,,,,,,,,,,,,
64,67,3,4,N/A,,,,,,,,,,,,
64,75,3,5,N/A,,,,,,,,,,,,
64,74,3,5,N/A,,,,,,,,,,,,
64,72,3,5,N/A,,,,,,,,,,,,
64,71,3,5,N/A,,,,,,,,,,,,
64,70,3,5,N/A,,,,,,,,,,,,
64,69,3,5,N/A,,,,,,,,,,,,
64,68,3,5,N/A,,,,,,,,,,,,
64,67,3,5,N/A,,,,,,,,,,,,
73,75,3,1,338km,7h50min,$55.10,5:30 AM,7:45AM-10:45AM,1:20 PM,PeterboroughGreyhoundStation,,UnionStation,,LondonGreyhound,,
73,74,3,1,204km,6h,$40.30,5:30 AM,7:45AM-10AM,11:30 AM,PeterboroughGreyhoundStation,,UnionStation,,HamiltonGO,,
73,72,3,1,146km,2h15min,$13.90,5:30 AM,,7:45 AM,PeterboroughGreyhoundStation,,UnionStation,,,,
73,71,3,1,398km,9h29min,$74.70,12:01 PM,1:45PM-4PM,9:30 PM,PeterboroughGreyhoundStation,,UnionStation,,OntarioNorthlandSudburyBusDepot,,
73,70,3,1,230km,4h55min,$22.50,5:30 AM,7:45AM-8:30AM ,10:25 AM,PeterboroughGreyhoundStation,,UnionStation,,CharlesStreetTerminal,,
73,69,3,1,217km,5h19min,$40.30,12:01 PM,1:45PM-3:15PM,5:20 PM,PeterboroughGreyhoundStation,,UnionStation,,BarrieBusTerminal ,,
73,68,3,1,268km,4h35min,$47.20,9:50 AM,,2:25 PM,PeterboroughGreyhoundStation,,OttawaCentralStation,,,,
73,67,3,1,320km,29h5min,$109.60,10:15 AM,2:20PM-12:10PM,3:20 PM,PeterboroughGreyhoundStation,,Pembroke,,OntarioNorthlandNorthBayBusStation ,,
73,66,3,1,283km,6h35min,$28,5:30 AM,7:45AM-9:30AM,12:05 PM,PeterboroughGreyhoundStation,,UnionStation,,KingandClarenceMegabusStop,,
73,64,3,1,128km,2h,$32.60,10:15 AM,,12:15 PM,PeterboroughGreyhoundStation,,MaynoothGreyhound ,,,,
73,75,3,2,338km,7h50min,$55.10,5:30 AM,7:45AM-10:45AM,1:20 PM,PeterboroughGreyhoundStation,,UnionStation,,LondonGreyhound,,
73,74,3,2,204km,6h,$40.30,5:30 AM,7:45AM-10AM,11:30 AM,PeterboroughGreyhoundStation,,UnionStation,,HamiltonGO,,
73,72,3,2,146km,1h50min,$14.90,11:15 AM,,1:05 PM,PeterboroughGreyhoundStation,\
\,UnionStation,,,,
73,71,3,2,398km,9h29min,$74.70,12:01 PM,1:45PM-4PM,9:30 PM,PeterboroughGreyhoundStation,,UnionStation,,OntarioNorthlandSudburyBusDepot,,
73,70,3,2,230km,5h45min,$25,11:15 AM,1:05PM-2PM,5:00 PM,PeterboroughGreyhoundStation,,UnionStation,,CharlesStreetTerminal,,
73,69,3,2,217km,5h19min,$40.30,12:01 PM,1:45PM-3:15PM,5:20 PM,PeterboroughGreyhoundStation,,UnionStation,,BarrieBusTerminal ,,
73,68,3,2,268km,4h35min,$47.20,9:50 AM,,2:25 PM,PeterboroughGreyhoundStation,,OttawaCentralStation,,,,
73,67,3,2,320km,29h5min,$109.60,10:15 AM,2:20PM-12:10PM,3:20 PM,PeterboroughGreyhoundStation,,Pembroke,,OntarioNorthlandNorthBayBusStation ,,
73,66,3,2,283km,6h35min,$28,5:30 AM,7:45AM-9:30AM,12:05 PM,PeterboroughGreyhoundStation,,UnionStation,,KingandClarenceMegabusStop,,
73,64,3,2,128km,2h,$32.60,10:15 AM,,12:15 PM,PeterboroughGreyhoundStation,,MaynoothGreyhound ,,,,
73,75,3,3,338km,5h29min,$62.09,12:01 PM,1:45PM-2:30PM,5:30 PM,PeterboroughGreyhoundStation,,UnionStation,,LondonGreyhound,,
73,74,3,3,204km,4h20min,$53.40,4:30 PM,6:20PM-7:15PM,8:50 PM,PeterboroughGreyhoundStation,,ScarboroughTownCentreBusTerminal,,HamiltonGO,,
73,72,3,3,146km,1h50min,$17.90,11:15 AM,,1:05 PM,PeterboroughGreyhoundStation,\
\,UnionStation,,,,
73,71,3,3,398km,9h29min,$83.70,12:01 PM,1:45PM-4PM,9:30 PM,PeterboroughGreyhoundStation,,UnionStation,,OntarioNorthlandSudburyBusDepot,,
73,70,3,3,230km,5h45min,$29,11:15 AM,1:05PM-2PM,5:00 PM,PeterboroughGreyhoundStation,,UnionStation,,CharlesStreetTerminal,,
73,69,3,3,217km,5h19min,$46.30,12:01 PM,1:45PM-3:15PM,5:20 PM,PeterboroughGreyhoundStation,,UnionStation,,BarrieBusTerminal ,,
73,68,3,3,268km,4h35min,$53.20,9:50 AM,,2:25 PM,PeterboroughGreyhoundStation,,OttawaCentralStation,,,,
73,67,3,3,320km,29h5min,$109.60,10:15 AM,2:20PM-12:10PM,3:20 PM,PeterboroughGreyhoundStation,,Pembroke,,OntarioNorthlandNorthBayBusStation ,,
73,66,3,3,283km,8h20min,$34,11:15 AM,1:05PM-5:15PM,7:35 PM,PeterboroughGreyhoundStation,,UnionStation,,KingandClarenceMegabusStop,,
73,64,3,3,128km,2h,$32.60,10:15 AM,,12:15 PM,PeterboroughGreyhoundStation,,MaynoothGreyhound ,,,,
73,75,3,4,338km,7h50min,$55.10,5:30 AM,7:45AM-10:45AM,1:20 PM,PeterboroughGreyhoundStation,,UnionStation,,LondonGreyhound,,
73,74,3,4,204km,6h,$40.30,5:30 AM,7:45AM-10AM,11:30 AM,PeterboroughGreyhoundStation,,UnionStation,,HamiltonGO,,
73,72,3,4,146km,1h50min,$14.90,11:15 AM,,1:05 PM,PeterboroughGreyhoundStation,\
\,UnionStation,,,,
73,71,3,4,398km,9h29min,$74.70,12:01 PM,1:45PM-4PM,9:30 PM,PeterboroughGreyhoundStation,,UnionStation,,OntarioNorthlandSudburyBusDepot,,
73,70,3,4,230km,4h55min,$22.50,5:30 AM,7:45AM-8:30AM ,10:25 AM,PeterboroughGreyhoundStation,,UnionStation,,CharlesStreetTerminal,,
73,69,3,4,217km,5h19min,$40.30,12:01 PM,1:45PM-3:15PM,5:20 PM,PeterboroughGreyhoundStation,,UnionStation,,BarrieBusTerminal ,,
73,68,3,4,268km,4h35min,$47.20,9:50 AM,,2:25 PM,PeterboroughGreyhoundStation,,OttawaCentralStation,,,,
73,67,3,4,320km,29h5min,$109.60,10:15 AM,2:20PM-12:10PM,3:20 PM,PeterboroughGreyhoundStation,,Pembroke,,OntarioNorthlandNorthBayBusStation ,,
73,66,3,4,283km,6h35min,$28,5:30 AM,7:45AM-9:30AM,12:05 PM,PeterboroughGreyhoundStation,,UnionStation,,KingandClarenceMegabusStop,,
