city_from,city_to,transitmode,persona,total distance,time,total Cost,start time,transfertime,eagres time,stop 1 lat,stop 1 long,stop 2 lat,stop 2 long,stop 3 lat,stop 3 long,stop 4 lat,stop 4 long,rowiid
London,Hamilton,3,5,138km,170,$42.60,8:00 AM,,10:50 AM,42.980546,-81.250705,43.253217,-79.869159,,,,,33
London,Toronto,3,5,195km,165,$33.00,10:45 AM,,1:30 PM,42.980546,-81.250705,43.646652,-79.384396,,,,,34
London,Greater Sudbury,3,5,545km,420,$98,2:30 PM,4:30:00 PM-5PM,9:30 PM,42.980546,-81.250705,43.646652,-79.384396,46.504838,-80.938205,,,35
London,Kitchener ,3,5,110km,95,$21.70,10:45 AM,,12:20 PM,42.980546,-81.250705,43.449564,-80.492256,,,,,36
London,Barrie,3,5,255km,319,$53,12:01 PM,2:20PM-3:15PM,5:20 PM,42.980546,-81.250705,43.646652,-79.384396,44.387776,-79.690978,,,37
London,Ottawa,3,5,628km,590,$107,4:00 AM,6:35AM-8:30AM,1:50 PM,42.980546,-81.250705,43.646652,-79.384396,45.408603,-75.695007,,,38
London,North Bay ,3,5,496km,1185,$88.40,2:30 PM,4:30PM-5PM-9:30PM-8:30AM,10:15 AM,42.980546,-81.250705,43.646652,-79.384396,46.504838,-80.938205,46.313901,-79.438546,39
London,Hastings Highlands,3,5,436km,945,$77.50,8:30 PM,11:45PM-7:30AM-9:45AM-10:15AM,12:15 PM,42.980546,-81.250705,43.646652,-79.384396,44.304691,-78.323045,45.231021,-77.937785,40
Hamilton,London,3,1,138km,165,$30.10,11:40 AM,,2:25 PM,43.253217,-79.869159,42.980546,-81.250705,,,,,41
Hamilton,Toronto,3,1,69km,75,$11.20,11:00 AM,,12:15 PM,43.253217,-79.869159,43.646652,-79.384396,,,,,42
Hamilton,Greater Sudbury,3,1,436km,630,$77.80,11:00 AM,12:15PM-4PM,9:30 PM,43.253217,-79.869159,43.646652,-79.384396,46.504838,-80.938205,,,43
Hamilton,Kitchener ,3,1,66km,95,$10,7:30 AM,,9:05 AM,43.253217,-79.869159,43.449564,-80.492256,,,,,44
Hamilton,Barrie,3,1,146km,380,$33.70,11:00 AM,12:15PM-3:15PM,5:20 PM,43.253217,-79.869159,43.646652,-79.384396,44.387776,-79.690978,,,45
Hamilton,Ottawa,3,1,516km,540,$65,11:00 AM,12:15PM-2:30PM,8:00 PM,43.253217,-79.869159,43.646652,-79.384396,45.408603,-75.695007,,,46
Hamilton,North Bay ,3,1,393km,1030,$89.70,10:10 PM,11:45PM-12:30AM-6:20AM-10AM,3:20 PM,43.253217,-79.869159,43.646652,-79.384396,45.408603,-75.695007,46.313901,-79.438546,47
Hamilton,Hastings Highlands,3,1,331km,2595,$77.50,5:00 PM,6:50PM-3:10PM-4:45PM-10:10AM,12:15 PM,43.253217,-79.869159,43.775108,-79.254744,44.304691,-78.323045,45.231021,-77.937785,48
Hamilton,London,3,2,138km,165,$30.10,11:40 AM,,2:25 PM,43.253217,-79.869159,42.980546,-81.250705,,,,,49
Hamilton,Toronto,3,2,69km,75,$11.20,11:00 AM,,12:15 PM,43.253217,-79.869159,43.646652,-79.384396,,,,,50
